NOMBRE MUNICIPIO;CP;CODIGO MUNICIPIO;NUM_COLMENAS
Alonsotegi;48810;48912;40
Alonsotegi;48810;48912;80
Alonsotegi;48810;48912;80
Balmaseda;48800;48090;40
Balmaseda;48800;48090;40
Sopuerta;48190;48086;35
Sopuerta;48190;48086;15
Balmaseda;48800;48090;18
Güeñes;48820;48045;80
Güeñes;48820;48045;55
Güeñes;48820;48045;40
Balmaseda;48800;48090;26
Artzentales;48879;48008;50
Artzentales;48879;48008;80
Artzentales;48879;48008;80
Artzentales;48879;48008;80
Artzentales;48879;48008;80
Artzentales;48879;48008;80
Muskiz;48550;48071;80
Muskiz;48550;48071;40
Muskiz;48550;48071;80
Muskiz;48550;48071;80
Muskiz;48550;48071;80
Muskiz;48550;48071;80
Muskiz;48550;48071;45
Balmaseda;48800;48090;60
Balmaseda;48800;48090;60
Muskiz;48550;48071;60
Muskiz;48550;48071;50
Muskiz;48550;48071;40
Abanto y Ciérvana-Abanto Zierbena;48500;48002;60
Abanto y Ciérvana-Abanto Zierbena;48500;48002;41
Abanto y Ciérvana-Abanto Zierbena;48500;48002;60
Karrantza Harana/Valle de Carranza;48890;48022;15
Karrantza Harana/Valle de Carranza;48890;48022;60
Karrantza Harana/Valle de Carranza;48890;48022;51
Karrantza Harana/Valle de Carranza;48890;48022;16
Elorrio;48230;48032;41
Elorrio;48230;48032;40
Mañaria;48212;48059;30
Atxondo;48291;48091;30
Abadiño;48220;48001;80
Abadiño;48220;48001;80
Muxika;48391;48067;80
Muxika;48391;48067;80
Muxika;48391;48067;80
Muxika;48391;48067;27
Muxika;48391;48067;80
Muxika;48391;48067;53
Ea;48287;48028;23
Ea;48287;48028;30
Ea;48287;48028;50
Kortezubi;48315;48907;27
Kortezubi;48315;48907;80
Kortezubi;48315;48907;80
Kortezubi;48315;48907;80
Dima;48141;48026;30
Dima;48141;48026;80
Dima;48141;48026;40
Artea;48142;48023;50
Artea;48142;48023;30
Galdakao;48960;48036;20
Galdakao;48960;48036;10
Galdakao;48960;48036;11
Orozko;48410;48075;56
Orozko;48410;48075;80
Orozko;48410;48075;31
Orozko;48410;48075;30
Areatza;48143;48093;20
Areatza;48143;48093;15
Artea;48142;48023;80
Artea;48142;48023;80
Artea;48142;48023;80
Artea;48142;48023;80
Artea;48142;48023;80
Artea;48142;48023;80
Artea;48142;48023;80
Artea;48142;48023;40
Amorebieta-Etxano;48340;48003;80
Amorebieta-Etxano;48340;48003;80
Amorebieta-Etxano;48340;48003;63
Amorebieta-Etxano;48340;48003;15
Orozko;48410;48075;15
Amorebieta-Etxano;48340;48003;29
Zeanuri;48144;48024;15
Bakio;48130;48012;30
Gorliz;48630;48043;80
Gorliz;48630;48043;80
Gorliz;48630;48043;80
Gorliz;48630;48043;80
Gorliz;48630;48043;80
Gorliz;48630;48043;45
Gorliz;48630;48043;45
Gorliz;48630;48043;80
Gorliz;48630;48043;80
Bermeo;48370;48017;70
Bermeo;48370;48017;70
Bermeo;48370;48017;80
Bermeo;48370;48017;40
Bilbao;48009;48020;60
Bilbao;48009;48020;40
Bilbao;48009;48020;40
Bilbao;48009;48020;60
