COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÍNIMO
;;;;;;NIVEL MÍNIMO (m);;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MINIMOA
C076;Abetxuko;510;0.028;0.055;0.035;0.033;0.017;0.033;0.046;0.039;0.042;0.036;0.037;0.084;0.017
C0A4;Albaina;594;0.225;0.268;0.218;0.230;0.196;0.133;0.076;0.047;0.007;0.075;0.090;0.307;0.007
C056;Alegria;545;0.182;0.300;0.196;0.190;0.213;0.146;0.084;0.120;0.500;0.098;0.105;0.356;0.084
C0A3;Antoñana;556;0.402;0.389;0.445;0.461;0.405;0.402;0.430;0.404;0.380;0.399;0.439;0.509;0.380
C0A2;Egino;573;0.117;0.219;0.159;0.152;0.140;0.074;0.001;0.000;0.000;0.000;0.097;0.220;0.000
C0AA;Etura;549;0.207;0.284;0.193;0.186;0.160;0.001;0.001;0.000;0.004;0.074;0.117;0.392;0.000
C067;Gardea;141;0.112;0.190;0.156;0.133;0.124;0.070;0.070;0.062;0.054;0.070;0.096;0.214;0.054
C055;Ozaeta;548;0.030;0.037;0.019;0.075;0.071;0.040;;;;;0.004;0.088;
C0A1;Pagoeta;705;0.193;0.221;0.224;0.226;0.219;0.236;0.222;0.211;0.179;0.174;0.180;0.204;0.174
C051;Saratxo;230;0.094;0.152;0.132;0.156;0.144;0.076;0.070;0.072;0.072;0.064;0.086;0.154;0.064
C0A0;Sarria;655;0.143;0.169;0.145;0.165;0.151;0.070;0.032;0.042;0.049;0.049;0.144;0.189;0.032
C0B1;Abusu (La Peña);23;0.118;0.220;0.172;0.144;0.098;0.038;0.022;0.032;0.030;0.024;0.112;0.312;0.022
C079;Amorebieta;65;0.214;0.285;0.292;0.289;0.264;0.220;0.209;0.215;0.210;0.195;0.223;0.413;0.195
C0C1;Aranguren;92;0.332;0.553;0.000;0.371;0.355;0.332;0.319;0.289;0.335;0.329;0.370;0.612;0.000
C032;Areta;122;0.206;0.256;0.112;0.131;0.239;0.143;0.181;0.198;0.189;0.094;0.104;0.217;0.094
C0C2;Balmaseda;178;0.236;0.285;0.266;0.264;0.263;0.254;0.248;0.248;0.236;0.238;0.252;0.306;0.236
C0BE;Berriatua;25;0.130;0.166;0.155;0.154;0.153;0.159;0.129;0.120;0.112;0.107;0.160;0.169;0.107
C074;Elorrio;167;0.103;0.131;0.116;0.118;0.109;0.099;0.084;0.070;0.084;0.081;0.122;0.166;0.070
C009;Galdakao;30;0.411;0.539;0.484;0.448;0.427;0.319;0.360;0.368;0.360;0.359;0.471;0.660;0.319
C0BD;Iruzubieta;110;0.120;0.152;0.140;0.152;0.133;0.128;0.112;0.110;0.107;0.111;0.157;0.206;0.107
C0B7;Mañaria;168;0.118;0.172;0.152;0.144;0.114;0.100;0.071;0.078;0.078;0.084;0.172;0.194;0.071
C057;Mungia;22;0.390;0.444;0.414;0.414;0.381;;0.227;0.238;0.238;0.239;0.369;0.480;0.227
C063;Muxika;16;0.140;0.182;0.176;0.157;0.150;0.036;0.122;0.106;0.108;0.108;0.148;0.228;0.036
C0BA;Oleta;14;0.148;0.172;0.154;0.162;0.130;0.128;0.104;0.110;0.104;0.106;0.154;0.212;0.104
C0B4;Orozko;200;0.024;0.027;0.022;0.019;0.052;0.000;0.000;0.000;0.006;0.000;0.023;0.013;0.000
C054;Otxandio;556;0.061;0.094;0.076;0.085;0.049;0.005;0.000;0.000;0.000;0.000;0.098;0.120;0.000
C0B9;Sangroniz;10;0.341;0.430;0.429;0.417;0.392;0.354;0.345;0.297;0.346;0.338;0.373;0.457;0.297
C0C4;Sodupe-Cadagua;56;0.256;0.313;0.303;0.251;0.167;0.153;0.000;0.000;0.040;0.001;0.224;0.366;0.000
C0B3;Urkizu;75;0.182;0.218;0.192;0.170;0.142;0.110;0.086;0.144;0.146;0.146;0.182;0.262;0.086
C0E5;Agauntza;180;0.154;0.213;0.188;0.182;0.162;0.124;0.108;0.112;0.108;0.089;0.136;0.196;0.089
C0DB;Aitzu;312;0.136;0.164;0.152;0.160;0.128;0.100;0.080;0.092;0.080;0.078;0.132;0.200;0.078
C0D3;Aixola;320;0.005;0.109;0.096;0.088;0.084;0.084;0.069;0.059;0.058;0.047;0.071;0.114;0.005
C0DD;Aizarnazabal;25;0.324;0.373;0.348;0.348;0.304;0.285;0.247;0.222;0.209;0.209;0.310;0.425;0.209
C0E9;Alegia;90;0.262;0.356;0.220;0.276;0.280;0.212;0.214;0.206;0.200;0.196;0.248;0.350;0.196
C078;Altzola;17;0.330;0.407;0.349;0.332;0.340;0.292;0.262;0.246;0.210;0.242;0.308;0.496;0.210
C052;Ameraun;285;0.148;0.291;0.282;0.311;0.280;0.320;0.271;0.152;0.132;0.143;0.177;0.231;0.132
C0E1;Amundarain;111;0.153;0.248;0.194;0.181;0.167;0.134;0.100;0.121;0.108;0.109;0.184;0.201;0.100
C077;Andoain;52;0.270;0.254;0.273;0.286;0.263;0.249;0.222;0.206;0.188;0.205;0.266;0.390;0.188
C080;Añarbe;184;0.258;0.284;0.247;0.264;0.269;0.246;0.173;0.183;0.191;0.193;0.297;0.266;0.173
C0E8;Araxes;141;0.241;0.293;0.266;0.266;0.252;0.211;0.171;0.151;0.160;0.175;0.219;0.371;0.151
C0EA;Belauntza;105;0.188;0.229;0.224;0.219;0.191;0.200;0.171;0.156;0.134;0.138;0.168;0.258;0.134
C0F0;Ereñozu;25;0.408;0.430;0.392;0.366;0.352;0.452;0.304;0.288;0.272;0.278;0.390;0.540;0.272
C0E7;Estanda;195;0.116;0.154;0.142;0.142;0.122;0.094;0.076;0.080;0.074;0.074;0.096;0.188;0.074
C0DC;Ibai Eder;90;0.160;0.204;0.188;0.176;0.172;0.160;0.144;0.136;0.112;0.107;0.128;0.208;0.107
C0EC;Lasarte;18;0.356;0.494;0.349;0.374;0.309;0.333;0.316;0.300;0.254;0.246;0.363;0.521;0.246
C0DE;Matxinbenta;250;0.085;0.114;0.100;0.109;0.092;0.083;0.066;0.066;0.057;0.058;0.080;0.143;0.057
C0F4;Oiartzun;53;0.201;0.261;0.236;0.221;0.184;0.221;0.164;0.158;0.146;0.158;0.247;0.290;0.146
C0D1;Oñati;195;0.136;0.212;0.179;0.175;0.173;0.100;0.118;0.110;0.107;0.099;0.162;0.001;0.001
C0D2;San Prudentzio;175;0.286;0.374;0.334;0.318;0.264;0.224;0.200;0.192;0.192;0.184;0.238;0.400;0.184
C0D0;Urkulu;340;0.050;0.068;0.059;0.064;0.066;0.044;0.026;0.044;0.044;0.042;0.060;0.078;0.026
COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÍNIMO
;;;;;;NIVEL MÍNIMO (m);;;;;;;;;
