COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;75.7;176.4;104.8;49.6;32.4;47.4;9.3;4.8;45.5;17.5;112.6;13.8;689.8
C056;Alegria;545;83.6;173.4;98.3;48.9;35.4;52.4;6.1;18.7;24;16.2;110.3;7.3;674.6
C035;Altube;618;115.9;254.3;218.9;109;51.6;49.1;31.3;11;100.1;21;146.1;34.4;1142.7
C001;Arkaute;517;84.7;188.6;108.2;50;35.5;44.2;7.9;11.7;35.5;20.7;115.2;13.4;715.6
C034;Espejo;504;94.4;138.7;107.3;66.4;64.1;32.8;9.6;3.6;25.8;7.9;80.5;10.5;641.6
C0AA;Etura;549;64.6;208.3;160.2;58.4;29.3;43.9;5.3;8.8;36.4;15.5;129.9;11.3;771.9
C067;Gardea;141;106.8;308.3;274.1;57.8;65;28.8;21.3;7.1;85.8;19.7;165;34.1;1173.8
C044;Gorbea;662;132;350.4;284;99.5;37.8;42.3;37.9;11.2;82.4;20.7;161.5;26.9;1286.6
C048;Herrera;1188;71.7;169.1;90.4;56.6;57.1;22.6;8.9;4.8;44.8;28.5;103.5;12.3;670.3
C068;Ilarduia;596;116.2;287.6;226.4;68.4;49.1;46.2;10.7;9.8;65.1;31;170.7;11.7;1092.9
C024;Iturrieta;987;142;271;199.9;80.7;75.2;30.8;17.4;7.7;61.3;26.4;146;19;1077.4
C0A0;Kanpezu;550;101.1;217.6;136.7;40.1;70;8.4;17.4;0.4;16.8;18.5;100.1;17.1;744.2
C047;Kapildui;1173;103.2;186.1;125.7;81.7;60.9;46.1;25.9;20;58.1;41.7;133.1;10;892.5
C031;Moreda;490;39;63;44.1;11.6;12.1;9.8;13.5;0.3;9.4;13;68.4;9.7;293.9
C041;Navarrete;689;85.9;140.1;85.5;45;35.3;18.6;10.6;1.3;22.4;14.8;105.8;7.8;573.1
C055;Ozaeta;548;91.4;244.7;187.4;62.6;30.3;36.5;4.7;9;60.8;19.2;132.1;14;892.7
C060;Páganos;577;62;141.2;82.5;33.8;22.1;13.1;6.9;1.5;19.5;9.8;70.2;7;469.6
C030;Salvatierra;589;94;217.2;166.9;58;39.8;48.1;4;5.2;29.5;27.1;126.5;10.6;826.9
C051;Saratxo;230;97.2;225.5;189.3;58.7;52.5;23.2;32.7;12.9;72.4;21.2;112;24.7;922.3
C0A0;Sarria;655;128.5;324.8;288;107.1;47.4;52.1;23.2;8.5;86.4;21.1;188.8;36.1;1312.0
C049;Subijana;537;82.9;142.1;128.5;78.2;50.4;41.7;7.3;1.4;47.4;27.8;118.9;19.9;746.5
C020;Trebiño;578;49.9;124.8;66;38.7;38.9;28.6;10.5;9.4;42.8;22.8;111.8;12.6;556.8
C070;Zaldiaran;980;67.5;135.1;77.6;42.6;48.2;47.2;13.9;6.6;56.5;12.4;89.3;7.8;604.7
C050;Zambrana;470;49.5;104.8;94.3;49.5;54.4;27.9;5.2;4.2;19.6;11.4;95.9;7.9;524.6
C0B1;Abusu (La Peña);23;120.2;290.4;237.1;68.6;57.7;51.2;53.5;12.2;108.7;17;212.8;37;1266.4
C079;Amorebieta;65;123.7;335;260.3;58.5;87.9;42.8;26.5;17.4;100.3;26;209.7;22.8;1310.9
C0C1;Aranguren;92;57.4;268.5;265.2;67.9;48.9;26;16.8;9.4;76.4;12.4;166.6;35.7;1051.2
C061;Arboleda;329;117;334.3;219.4;75.2;62.4;50.2;59.9;9.9;108.7;17.9;187.6;27.2;1269.7
C032;Areta;122;99;306;303.8;58.2;57.4;39.8;27;7.3;95.1;14.2;168.6;31;1207.4
C002;Arteaga;19;148;387.7;221.2;49.6;79.7;47.4;35;9.1;107.1;47;232.4;16.7;1380.9
C0C2;Balmaseda;178;82.1;264.2;258.3;64.9;47;35.5;18.4;10.6;58.8;13.5;177.1;31.6;1062.0
C069;Bermeo;106;179.7;425.9;225.5;55.4;75.4;60.1;37.7;13.9;126;49.6;340.2;28.1;1617.5
C0B6;Berna;95;139.6;382.4;272;77.7;59.8;48.7;47.1;16.3;88.5;39.7;193.2;18.6;1383.6
C0BE;Berriatua;25;129.6;347.4;208.2;58.6;57.7;36.4;40;12.6;67.1;45;215.2;20.5;1238.3
C065;Cerroja;677;108;316.1;281.7;104.8;46.4;43.2;43.8;25;101.8;46.2;195.4;50.4;1362.8
C003;Derio;30;119.2;348.2;231.3;53;62.4;49.5;56.8;10.7;92.3;16.1;226.5;33.8;1299.8
C039;Deusto;3;97.5;277;208.5;55.9;42.8;40.6;37.9;4.4;95;11.3;179.9;39.2;1090.0
C075;Eitzaga;270;145.8;386.1;314.8;97.7;68.5;47.7;46.7;25.4;77.3;23.9;212;18.2;1464.1
C074;Elorrio;167;131.1;319.1;262;86.7;57.3;49.6;60.9;21.7;74.2;29.9;185;17.2;1294.7
C038;Galindo;5;114.5;306;227.8;63.8;62.2;48.2;46.1;10.5;117.4;18.5;199.8;43.7;1258.5
C033;Igorre;150;110.4;317;312.2;68.1;65.1;57.2;56.7;11.2;83.6;31;200.4;27.8;1340.7
C0BD;Iruzubieta;110;175.4;408.4;287.3;82.6;72.2;50.2;51.6;13.8;75.8;39.5;261.5;23.8;1542.1
C036;Iurreta;180;123;332;255.2;84.2;50.3;39.7;24.2;11.5;70.4;23.4;175;21.7;1210.6
C045;La Garbea;717;92.9;258.8;211.8;69.6;39.2;31.3;42.2;20.9;83.4;21.2;180;32.1;1083.4
C0B7;Mañaria;168;125.1;346.8;297.2;81;49.5;52.9;44;11.5;87.7;24.5;203.7;18.5;1342.4
C019;Matxitxako;433;142.1;324.1;167.8;39.6;62.1;55.6;92;23.4;93.9;51.4;283.2;24.3;1359.5
C057;Mungia;22;126.4;371;233.5;45.5;79.2;54.4;40;11.7;108.5;32.1;271.6;31.6;1405.5
C063;Muxika;16;91.9;386.4;284.9;59.2;80.2;50.9;63.8;9.8;124.4;45.8;238.5;19.4;1455.2
C046;Oiz;980;89.7;198.3;146.8;58.1;74.8;59;125;42.2;115.5;31.9;127.5;14.7;1083.5
C0BA;Oleta;14;147.7;344.6;188;56.3;71.9;35.5;49.6;18;108.8;19.8;258.1;19.7;1318.0
C059;Ordunte;300;98.9;328.1;303.2;91.2;53.1;35.3;14.3;10.7;51.2;18;173.5;39.1;1216.6
C072;Orduña;934;104.4;210.3;152.2;92.6;51.5;38.1;62.3;37.4;87.6;26.3;119.1;30.2;1012.0
C0B4;Orozko;200;100.2;278.5;282;69.6;63.2;23.6;42.1;9.5;92.5;21.2;179.1;31.4;1192.9
C054;Otxandio;556;108.4;330.3;272.6;98;54.8;54.3;39.6;18.9;72.8;49.7;180.6;27.7;1307.7
C042;Punta Galea;61;92.5;227.1;156.1;28.6;36.2;42.5;49;9.2;103.7;24.2;188.9;30.6;988.6
C0B9;Sangroniz;10;120.9;310.2;244.6;66.7;47.7;55.6;72.6;8.7;108.8;16.2;205.4;42.1;1299.5
C0C3;Sodupe;55;118.9;344.5;316.2;71.4;51.3;34.9;17.8;5.4;116.8;12.9;189.5;41.3;1320.9
C022;Urkiola;709;115.7;346.4;253.9;54.2;50.6;59;58.8;24.7;67.1;18.7;190.1;20.9;1260.1
C0B3;Urkizu;75;118.3;314.2;283.6;64;69.7;47;51.6;13.5;82.5;27.5;210.2;23.8;1305.9
C037;Venta Alta;162;117.3;333.4;297.7;81.9;71.6;59.7;58.6;14.9;119;19.5;220.9;39.5;1434.0
C0E5;Agauntza;180;113.7;257.7;211.3;83.3;53.2;78.4;24.2;22.2;48.9;41.5;174.7;13;1122.1
C0DB;Aitzu;312;138.1;373;287;105.3;59.8;49.4;33;32.4;123.3;34.5;211.3;21.1;1468.2
C0D3;Aixola;320;147.1;381.8;310.7;96.6;84.3;57.3;68.8;29.9;80.7;27.2;235.6;18.9;1538.9
C0DD;Aizarnazabal;25;131.4;293;218.2;81.4;66.8;46.3;75.2;51.2;104.7;52.9;226.6;21.4;1369.1
C0E9;Alegia;90;113.4;304.4;262.7;104.4;53.6;55;20.1;19.5;101.5;37.5;186.6;16.4;1275.1
C078;Altzola;17;144.9;368.9;295.9;102.4;65.7;36.1;38.3;21.6;91.6;39.8;232.8;23.8;1461.8
C052;Ameraun;285;189.8;382.4;374.9;131.6;133.2;78.5;66;36.1;127.4;46.8;326.2;30.7;1923.6
C0E1;Amundarain;111;91;272.3;224.5;105.7;52.6;78.3;18.9;20.8;59;43.4;177.4;12.2;1156.1
C077;Andoain;52;118.9;295.8;250.5;89.1;81.2;48.8;65.5;35.7;96;54.3;272.3;24.3;1432.4
C080;Añarbe;184;210.6;415.6;335.7;127.3;148;95.2;64.2;40;174.5;51.2;352.5;28.7;2043.5
C0E8;Araxes;141;121.4;295.1;262.8;111.5;80.2;38.8;43.8;34.6;100.2;38.4;229.7;22.2;1378.7
C023;Arrasate;318;133.2;378.1;325.4;122.4;59.7;49.7;39.9;14.8;73.6;18.6;192.7;21.4;1429.5
C084;Behobia;5;173.4;246.1;226.3;79.1;109;57.8;23.6;38.5;159.9;58.1;325.2;13.3;1510.3
C0EA;Belauntza;105;119.1;280;250.4;118;84.3;65.3;88.4;58.8;114.9;40.4;252.5;32.6;1504.7
C026;Berastegi;379;182.9;379.5;334.8;143.5;117.6;69;54.7;33.5;124.1;41.9;300;33.3;1814.8
C058;Bidania;592;127.7;356.1;304.1;124.3;85.2;65.1;52.3;41.4;128.3;46.8;281.7;25.1;1638.1
C0F0;Ereñozu;25;158;303.3;253.3;91.4;118.4;73.7;121;46.7;119.3;59.4;306.4;23;1673.9
C0E7;Estanda;195;105.7;262.2;245.9;108.5;59.2;42.7;17.5;13.9;60.8;31;161.5;13;1121.9
C0DC;Ibai Eder;90;121.3;349.6;302.4;125.7;56;41.6;44.2;43.3;103.4;54.4;185.1;22.3;1449.3
C0EC;Lasarte;18;132.3;305.2;246.7;75.3;83.8;40.8;68;41.9;112.5;41.2;285.8;20.8;1454.3
C0DE;Matxinbenta;250;127.7;344.5;286.2;133.8;62.3;50.9;56.8;39.3;118.1;45.5;195;27.4;1487.5
C017;Miramon;113;159.1;318.1;188.7;80.1;101.7;56.6;92.9;36.2;137.9;68.8;312.3;23.4;1575.8
C0F4;Oiartzun;53;160.3;317.1;226.4;71.5;132.2;55.1;56.3;32.5;150.5;53.7;364.7;19.2;1639.5
C0D1;Oñati;195;75.3;305.2;246.5;99.8;52.4;41.1;39.7;19.1;74.6;25;180.8;17.2;1176.7
C043;Ordizia;243;93.3;291.2;252.3;105.5;49.7;63;10.7;14.6;59.7;50.2;168.6;13.8;1172.6
C0D2;San Prudentzio;175;95.8;340.2;257.8;93.1;53.6;38.4;47.6;21;65.9;21.2;171;16;1221.6
C0D0;Urkulu;340;104.6;250.2;272.8;98.7;35.3;67.9;44.8;29.2;70.7;34.2;186.1;14.7;1209.2
C064;Zarautz;80;110.3;245.6;142.7;49.2;76.2;44;57.3;41;89.9;39.2;226.8;14.4;1136.6
C028;Zegama;520;204.9;285.7;261.8;130.3;67.1;68.2;42;34.4;121.3;36.3;193.8;16.1;1461.9
C029;Zizurkil;149;107.7;255.9;221.9;96.5;78.8;45;58.5;34.3;80.5;33.7;221.6;26.6;1261.0
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
